grassius_name	uniprot_id	alleles
ZmGLK57	K7W4V3	GRMZM2G026833,Zm00001d044785,Zm00001eb371980
ZmOrphan197	K7W4X8	GRMZM2G435294,Zm00001d044819,Zm00001eb372280
ZmNLP14	A0A1D6NRP6	GRMZM2G392306,GRMZM2G094586,Zm00001d044825,Zm00001eb372360,Zm00001eb372370
ZmTCP9	A0A1D6NRT2	GRMZM2G113888,Zm00001d044836,Zm00001eb372490
ZmMADS60	A0A1D6NRV8	GRMZM2G152415,Zm00001d044850,Zm00001eb372610
ZmFHA2	B4FGW1	GRMZM2G424241,Zm00001d031593,Zm00001eb036350,Zm00001eb036360,Zm00001eb036370
ZmEREB31	K7W500	GRMZM5G852704,Zm00001d044857,Zm00001eb372660
ZmMADS74	A0A1D6NS15	GRMZM5G814279,Zm00001d044899,Zm00001eb372960
ZmEREB207	K7V6B8	GRMZM2G156006,Zm00001d045120,Zm00001eb374830
ZmbZIP100	A0A1D6NSD5	GRMZM2G033413,Zm00001d044940,Zm00001eb373300
ZmGBP4	A0A1D6NSE6	GRMZM2G066373,Zm00001d044953,Zm00001eb373390
ZmOrphan358	A0A3L6D838	GRMZM2G033915,Zm00001d044988
ZmDBP3	C4JAG1	GRMZM2G149132,Zm00001d045128,Zm00001eb374920
ZmC3H2	A0A096T535	GRMZM2G306357,Zm00001d044260,Zm00001eb160100
ZmMYB1	P10290	GRMZM2G005066,Zm00001d044975,Zm00001eb373660
ZmC3H6	K7VZV8	GRMZM2G086614,Zm00001d047539,Zm00001eb395300
ZmMYB7	A0A1D6F243	GRMZM2G064630,Zm00001d006922,Zm00001eb109820
ZmE2F10	A0A1D6NVI4	GRMZM2G169709,Zm00001d045365,Zm00001eb373690
ZmARF27	D9HNV4	GRMZM2G160005,Zm00001d045026,Zm00001eb373970
ZmEREB160	B8A023	GRMZM2G171179,Zm00001d045044,Zm00001eb374110
ZmbHLH171	B4F8Y3	GRMZM2G024530,Zm00001d045046,Zm00001eb374120
ZmOrphan353	C0HH52	GRMZM2G067053,Zm00001d045098,Zm00001eb374600,Zm00001eb374610
