"name","description","filename","public_url","md5sum"
"chado_template","snapshot of an empty chado database","chado-1.31-no-onto.sql","https://github.com/hexylena/chado-schema-builder/releases/download/1.31-jenkins28/chado-1.31-no-onto.sql.gz","58fa773c014395afa9008e9ac23dc366"
"family_rules","criteria for assigning families to transcripts","Current_TF_family_rules.xlsx",,"417ecaaea8903ca12f12e7f6aa9b28cf"
"family_descriptions","description for each family, to appear in the website","family_descriptions.csv",,"07c8059b2229e01f127aa561b886f798"
"selfbuild_hmm","selfbuild HM models","TF_selfbuild.hmm",,"70f2ecffeae2bd4a514a82c5ad9251d1"
"pfam_hmm","pfam HM models","Pfam-A.hmm","http://ftp.ebi.ac.uk/pub/databases/Pfam/releases/Pfam35.0/Pfam-A.hmm.gz","eb895a2152c0e977cb6cf1fee27e3003"
"maize_v3_cdna","Fasta file with maize v3 cdna sequences","Zea_mays.AGPv3.22.cdna.all.fa","https://download.maizegdb.org/B73_RefGen_v3/Zea_mays.AGPv3.22.cdna.all.fa.gz","45d70498e9b0327d387044515f450583"
"maize_v4_cdna","Fasta file with maize v4 cdna sequences","Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.cDNA.fa","https://download.maizegdb.org/Zm-B73-REFERENCE-GRAMENE-4.0/Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.cDNA.fa.gz","375e9ce1b9fa2d2e523172dde156c698"
"maize_v5_cdna","Fasta file with maize v5 cdna sequences","Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.cdna.fa","https://download.maizegdb.org/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.cdna.fa.gz","d89a2b627da0c71d989ff253714e6448"
"maize_v3_proteins","Fasta file with maize v3 protein sequences","Zea_mays.AGPv3.22.pep.all.fa","https://download.maizegdb.org/B73_RefGen_v3/Zea_mays.AGPv3.22.pep.all.fa.gz","2c93f694dba66d8ac83c92e9b438f889"
"maize_v4_proteins","Fasta file with maize v4 protein sequences","Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.protein.fa","http://ftp.maizegdb.org/MaizeGDB/FTP/Zm-B73-REFERENCE-GRAMENE-4.0/Zm-B73-REFERENCE-GRAMENE-4.0_Zm00001d.2.protein.fa.gz","d41d8cd98f00b204e9800998ecf8427e"
"maize_v5_proteins","Fasta file with maize v5 protein sequences","Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.protein.fa","http://ftp.maizegdb.org/MaizeGDB/FTP/Zm-B73-REFERENCE-NAM-5.0/Zm-B73-REFERENCE-NAM-5.0_Zm00001eb.1.protein.fa.gz","5056fa19e0c1cef1a136dd7b69d1b9a6"
"blast_output_example","example output from command “tblastn ...”","blast_output_example.txt",,"fb886f2348d34a118a1bd4c19a617e6b"
"old_grassius_names","list of proteins’ (name,class,family,synonym) from the old grassius website","old_grassius_names.xlsx",,"d7b9868e21b3ac3e9b481c2bc38898b6"
