accession,title,description
PF00011.24,Hsp20/alpha crystallin family,Not only do small heat-shock-proteins occur in eukaryotes and prokaryotes but they have also now been shown to occur in cyanobacterial phages as well as their bacterial hosts.
PF07569.14,TUP1-like enhancer of split,The Hira proteins are found in a range of eukaryotes and are implicated in the assembly of repressive chromatin. These proteins also contain PF00400.
PF03790.16,KNOX1 domain,"The MEINOX region is comprised of two domains, KNOX1 and KNOX2. KNOX1 plays a role in suppressing target gene expression. KNOX2, essential for function, is thought to be necessary for homo-dimerisation."
PF10250.12,GDP-fucose protein O-fucosyltransferase,"This is a family of conserved proteins representing the enzyme responsible for adding O-fucose to EGF (epidermal growth factor-like) repeats. Six highly conserved cysteines are present in O-FucT-1 as well as a DXD-like motif (ERD), conserved in mammals, Drosophila, and C. elegans. Both features are characteristic of several glycosyltransferase families. The enzyme is a membrane-bound protein released by proteolysis and, as for most glycosyltransferases, is strongly activated by manganese."
PF16282.8,SANT/Myb-like domain of DAMP1,"This domain, approximately 90 residues, is mainly found in DNA methyltransferase 1-associated protein 1 (DAMP1) that plays an important role in development and maintenace of genome integrity in various mammalia species [2,3]. It mainly consists of tandem repeats of three alpha-helices that are arranged in a helix-turn-helix motif and shows a structual similarity with SANT domain and Myb DNA-binding domain, indicating it contains a putative DNA binding site."
PF13837.9,Myb/SANT-like DNA-binding domain,This presumed domain appears to be related to other Myb/SANT-like DNA binding domains. In particular PF10545 seems most related. This family is greatly expanded in plants and appears in several proteins annotated as transposon proteins.
PF05964.17,F/Y-rich N-terminus,This region is normally found in the trithorax/ALL1 family proteins. It is similar to SM00541.
PF12660.10,Putative zinc-finger of transcription factor IIIC complex,This zinc-finger domain is at the very C-terminus of a number of different TFIIIC subunit proteins. This domain might be involved in protein-DNA and/or protein-protein interactions.
PF00657.25,GDSL-like Lipase/Acylhydrolase,"Upton C, Buckley JT; , Trends Biochem Sci 1995;20:178-179.: A new family of lipolytic enzymes? PUBMED:7610479 EPMC:7610479"
PF01753.21,MYND finger,"Gross CT, McGinnis W; , EMBO J 1996;15:1961-1970.: DEAF-1, a novel protein that binds an essential region in a Deformed response element. PUBMED:8617243 EPMC:8617243"
PF13649.9,Methyltransferase domain,This family appears to be a methyltransferase domain.
PF00520.34,Ion transport protein,"This family contains sodium, potassium and calcium ion channels. This family is 6 transmembrane helices in which the last two helices flank a loop which determines ion selectivity. In some sub-families (e.g. Na channels) the domain is repeated four times, whereas in others (e.g. K channels) the protein forms as a tetramer in the membrane."
PF20425.1,Neurobeachin alpha solenoid region,This region is found in any neurobeachin homologues. It forms an extended alpha solenoid structure.
