,gene_id,name,family,class
0,Bradi2g50070,BdVOZ2,VOZ,TF
1,Bradi2g19820,BdVOZ1,VOZ,TF
2,Sb09g025580,SbVOZ1,VOZ,TF
3,Sb03g034810,SbVOZ2,VOZ,TF
4,PTSo01034.1,ScVOZ2,VOZ,TF
5,PTSo01032.1,ScVOZ3,VOZ,TF
6,PTSo01035.1,ScVOZ1,VOZ,TF
7,PTSo01033.1,ScVOZ5,VOZ,TF
8,LOC_Os05g43950,,VOZ,TF
9,LOC_Os01g54930,,VOZ,TF
10,Bradi3g11036,BdMYBR36,MYB-related,TF
11,Bradi2g38160,BdMYBR26,MYB-related,TF
12,Bradi1g10370,BdMYBR2,MYB-related,TF
13,Bradi3g51960,BdMYBR44,MYB-related,TF
14,Bradi1g36540,BdMYBR9,MYB-related,TF
15,Bradi2g55797,BdMYBR34,MYB-related,TF
16,Bradi1g16355,BdMYBR4,MYB-related,TF
17,Bradi2g45770,BdMYBR30,MYB-related,TF
18,Bradi2g23710,BdMYBR24,MYB-related,TF
19,Bradi2g45780,BdMYBR31,MYB-related,TF
20,Bradi5g13510,BdMYBR51,MYB-related,TF
21,Bradi3g33400,BdMYBR40,MYB-related,TF
22,Bradi4g01770,BdMYBR47,MYB-related,TF
23,Bradi1g51960,BdMYBR11,MYB-related,TF
24,Bradi2g02810,BdMYBR15,MYB-related,TF
25,Bradi1g34840,BdMYBR8,MYB-related,TF
26,Bradi2g16120,BdMYBR19,MYB-related,TF
27,Bradi4g41230,BdMYBR50,MYB-related,TF
28,Bradi1g32330,BdMYBR6,MYB-related,TF
29,Bradi2g44520,BdMYBR29,MYB-related,TF
30,Bradi4g33820,BdMYBR49,MYB-related,TF
31,Bradi3g16515,BdMYBR38,MYB-related,TF
32,Bradi1g67910,BdMYBR12,MYB-related,TF
33,Bradi3g14830,BdMYBR37,MYB-related,TF
34,Bradi3g33440,BdMYBR41,MYB-related,TF
35,Bradi5g15240,BdMYBR52,MYB-related,TF
36,Bradi2g23315,BdMYBR21,MYB-related,TF
37,Bradi2g42870,BdMYBR28,MYB-related,TF
38,Bradi2g55217,BdMYBR33,MYB-related,TF
39,Bradi3g51757,BdMYBR43,MYB-related,TF
40,Bradi2g34670,BdMYBR25,MYB-related,TF
41,Bradi3g55430,BdMYBR45,MYB-related,TF
42,Bradi2g23330,BdMYBR23,MYB-related,TF
43,Bradi5g26110,BdMYBR54,MYB-related,TF
44,Bradi2g05590,BdMYBR16,MYB-related,TF
45,Bradi1g13422,BdMYBR3,MYB-related,TF
46,Bradi1g72300,BdMYBR14,MYB-related,TF
47,Bradi1g47562,BdMYBR10,MYB-related,TF
48,Bradi3g06870,BdMYBR35,MYB-related,TF
49,Bradi3g45450,BdMYBR42,MYB-related,TF
50,Bradi2g13860,BdMYBR18,MYB-related,TF
51,Bradi1g33410,BdMYBR7,MYB-related,TF
52,Bradi2g05760,BdMYBR17,MYB-related,TF
53,Bradi4g09490,BdMYBR48,MYB-related,TF
54,Bradi2g42240,BdMYBR27,MYB-related,TF
55,Bradi1g29680,BdMYBR5,MYB-related,TF
56,Bradi5g19380,BdMYBR53,MYB-related,TF
57,Bradi3g57300,BdMYBR46,MYB-related,TF
58,Bradi2g23310,BdMYBR20,MYB-related,TF
59,Bradi1g08470,BdMYBR1,MYB-related,TF
60,Bradi3g17170,BdMYBR39,MYB-related,TF
61,Bradi2g23320,BdMYBR22,MYB-related,TF
62,Bradi2g47820,BdMYBR32,MYB-related,TF
63,Bradi1g68510,BdMYBR13,MYB-related,TF
64,Sb09g003290,SbMYBR60,MYB-related,TF
65,Sb02g034880,SbMYBR19,MYB-related,TF
