gene_id	family
Bradi1g00219	GRAS
Bradi1g00567	LEUNIG
Bradi1g00666	AP2/ERF-ERF
Bradi1g01058	WRKY
Bradi1g01130	HSF
Bradi1g01300	CCAAT-HAP5
Bradi1g01650	NAC
Bradi1g01683	NAC
Bradi1g01695	NAC
Bradi1g01801	NAC
Bradi1g01807	NAC
Bradi1g01990	FAR1-like
Bradi1g02327	FAR1-like
Bradi1g02400	mTERF
Bradi1g02410	C2H2
Bradi1g02640	CSD
Bradi1g02650	CSD
Bradi1g02760	SBP
Bradi1g03020	C2C2-GATA
Bradi1g03146	NAC
Bradi1g03245	NAC
Bradi1g03620	GRAS
Bradi1g03780	C2H2
Bradi1g03790	C2H2
Bradi1g03810	C2H2
Bradi1g03880	AP2/ERF-AP2
Bradi1g03900	Alfin-like
Bradi1g04110	AP2/ERF-AP2
Bradi1g04150	NAC
Bradi1g05037	bHLH
Bradi1g05056	DDT
Bradi1g05247	PHD
Bradi1g05346	WRKY
Bradi1g05410	Aux/IAA
Bradi1g05430	bHLH
Bradi1g05480	bZIP
Bradi1g05550	HSF
Bradi1g05700	GNAT
Bradi1g05813	GNAT
Bradi1g05817	GNAT
Bradi1g06225	LBD
Bradi1g06460	TCP
Bradi1g06490	mTERF
Bradi1g06670	bHLH
Bradi1g06970	NAC
Bradi1g07247	Homeobox
Bradi1g07260	MYB / MYB-related
Bradi1g07492	C2H2
Bradi1g07511	G2-like
Bradi1g07600	C2C2-Dof
Bradi1g07630	G2-like
Bradi1g07640	SWI/SNF-BAF60
Bradi1g07660	C2H2
Bradi1g07737	GNAT
Bradi1g07880	SWI/SNF-BAF60
Bradi1g07936	bHLH
Bradi1g07970	WRKY
Bradi1g08326	MADS
Bradi1g08340	MADS
Bradi1g08470	MYB / MYB-related
Bradi1g08690	PHD
Bradi1g08891	HSF
Bradi1g09090	Aux/IAA
Bradi1g09170	WRKY
Bradi1g09177	bHLH
Bradi1g09550	C2C2-GATA
Bradi1g09606	C3H
Bradi1g09615	Homeobox
Bradi1g09900	GRF
Bradi1g09960	bHLH
Bradi1g10330	GRAS
Bradi1g10360	SNF2
Bradi1g10470	MYB / MYB-related
Bradi1g10475	TRAF
Bradi1g10610	Homeobox
Bradi1g10680	PHD
Bradi1g10750	FAR1-like
Bradi1g11010	SET
Bradi1g11060	TCP
Bradi1g11090	GRAS
Bradi1g11200	GeBP
Bradi1g11310	C2C2-CO-like
Bradi1g11700	GNAT
Bradi1g11760	C3H
Bradi1g12510	Homeobox
Bradi1g12620	bZIP
Bradi1g12650	GRF
Bradi1g12677	Homeobox
Bradi1g12690	Homeobox
Bradi1g12870	TRAF
Bradi1g12970	GNAT
Bradi1g13165	LBD
Bradi1g13207	WRKY
Bradi1g13310	FAR1-like
Bradi1g13420	G2-like
Bradi1g13680	CCAAT-HAP2
Bradi1g13910	bZIP
Bradi1g13971	LSD
Bradi1g13980	bHLH
Bradi1g14230	Aux/IAA
Bradi1g14240	Aux/IAA
Bradi1g14467	NAC
Bradi1g14495	ABI3-VP1
Bradi1g14510	ABI3-VP1
Bradi1g14530	ABI3-VP1
Bradi1g14550	ABI3-VP1
Bradi1g14600	bHLH
Bradi1g14750	C2H2
Bradi1g14780	LBD
Bradi1g14910	SNF2
Bradi1g15420	C2C2-Dof
Bradi1g15474	FAR1-like
Bradi1g15482	MADS
Bradi1g15581	MYB / MYB-related
Bradi1g16010	C2H2
Bradi1g16200	C2H2
Bradi1g16355	MYB / MYB-related
Bradi1g16820	PHD
Bradi1g17335	bZIP
Bradi1g17400	G2-like
Bradi1g17410	C2C2-Dof
Bradi1g17420	Homeobox
Bradi1g17440	NAC
Bradi1g17480	NAC
Bradi1g17650	PHD
Bradi1g17660	WRKY
Bradi1g17680	ABI3-VP1
Bradi1g17700	bZIP
Bradi1g17740	OVATE
Bradi1g17961	AP2/ERF-ERF
Bradi1g18380	TUB
Bradi1g18400	bHLH
Bradi1g18482	C3H
Bradi1g18580	AP2/ERF-ERF
Bradi1g18770	DDT
Bradi1g18870	AP2/ERF-AP2
Bradi1g18910	SNF2
Bradi1g19142	C3H
Bradi1g19702	bZIP
Bradi1g19740	FAR1-like
Bradi1g19810	MED26
Bradi1g19820	SNF2
Bradi1g19900	HSF
Bradi1g20063	NAC
Bradi1g20090	MADS
Bradi1g20197	SNF2
Bradi1g20210	GeBP
Bradi1g20540	MYB / MYB-related
Bradi1g20586	MYB / MYB-related
Bradi1g20801	NAC
Bradi1g20805	NAC
Bradi1g20830	C2C2-GATA
Bradi1g21115	FAR1-like
Bradi1g21372	CAMTA
Bradi1g21490	ZIM
Bradi1g21740	Alfin-like
Bradi1g21762	CCAAT-HAP2
Bradi1g22431	FAR1-like
Bradi1g22560	C2H2
Bradi1g22600	SNF2
Bradi1g22907	GRAS
Bradi1g22920	LBD
Bradi1g22940	C2H2
Bradi1g22960	bHLH
Bradi1g23060	GRAS
Bradi1g23090	HRT
Bradi1g23340	FAR1-like
Bradi1g23350	GRAS
Bradi1g23400	mTERF
Bradi1g23460	Homeobox
Bradi1g23470	C2H2
Bradi1g23550	BZR
Bradi1g23756	AP2/ERF-ERF
Bradi1g24051	C2C2-YABBY
Bradi1g24140	C2H2
Bradi1g24270	C3H
Bradi1g24310	GRAS
Bradi1g24390	NAC
Bradi1g24720	ABI3-VP1
Bradi1g24887	MYB / MYB-related
Bradi1g25230	bHLH
Bradi1g25297	MADS
Bradi1g25300	MADS
Bradi1g25370	GRAS
Bradi1g25470	bHLH
Bradi1g26440	SNF2
Bradi1g26570	C2C2-Dof
Bradi1g26654	FAR1-like
Bradi1g26720	SBP
Bradi1g26920	MYB / MYB-related
Bradi1g26960	FAR1-like
Bradi1g26980	FAR1-like
Bradi1g27170	CAMTA
Bradi1g27300	mTERF
Bradi1g27901	MADS
Bradi1g28267	SET
Bradi1g28400	GRF
Bradi1g29010	SET
Bradi1g29030	FAR1-like
Bradi1g29247	ARID
Bradi1g29680	MYB / MYB-related
Bradi1g29730	C2C2-YABBY
Bradi1g29820	C2H2
Bradi1g29823	C2H2
Bradi1g29826	C2H2
Bradi1g29857	NAC
Bradi1g29920	bZIP
Bradi1g30000	bHLH
Bradi1g30140	bZIP
Bradi1g30252	MYB / MYB-related
Bradi1g30260	C3H
Bradi1g30337	AP2/ERF-AP2
Bradi1g30730	Homeobox
Bradi1g30767	TRAF
Bradi1g30801	ARR-B
Bradi1g30805	ARR-B
Bradi1g30813	ARR-B
Bradi1g30870	WRKY
Bradi1g30950	GNAT
Bradi1g31280	C2C2-CO-like
Bradi1g31337	AP2/ERF-AP2
Bradi1g31391	SBP
Bradi1g31405	FAR1-like
Bradi1g31700	bZIP
Bradi1g31837	G2-like
Bradi1g32050	PLATZ
Bradi1g32230	TRAF
Bradi1g32236	TRAF
Bradi1g32241	TRAF
Bradi1g32265	TRAF
Bradi1g32330	MYB / MYB-related
Bradi1g32370	G2-like
Bradi1g32547	ARF
Bradi1g32560	C3H
